bedroom_number,street_address_raw,price,sect_keyfeatures,sect,requestdetails_p_a,id,url,price_raw,postcode,town_raw
1 bedroom apartment to rent,"42-44 Sackville Street, Manchester, Manchester","£1,650 pcm",*Available NOW**Exceptional Large 1 Bed Apartment**Two Bed Decks**High Ceilings**Open Brick Walls**Centrally Located**Close to University**Close to The Village**Grade II Listed Building* Julie Twist Properties are delighted to present this exceptionally stunning apartment within the Grade II Li...,,Call: 0161 468 0813,715,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=90,t to rent,M1 3NF,Manchester
2 bedroom apartment to rent,"Chapel Street,Manchester,M3",£800 pcm,1ClickMove is proud to present a luxurious and modern 2 bedroom Appartment conveniantly located a few minutes walk away from Manchester City Centre.,,Call: 0161 468 0796,716,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=90,t to rent,M3 5JZ,Manchester
1 bedroom apartment to rent,"Taylorson Street South, Salford, Manchester",£595 pcm,"A smart one double bedroom apartment forming part of the ever popular XQ7 building in Salford Quays. The property is positioned on the 7th floor and benefits from a modern fitted kitchen, with integral appliances opening into the lounge which features a Juliet balcony. Main bathroom fitted with a...",,Call: 0161 973 6680,718,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=90,t to rent,M5 3FN,Manchester
4 bedroom apartment to rent,"Wilmslow Road,Rusholme,Manchester,M14","£1,400 pcm",Beautiful STUDENT 4 bedroom FLAT for NEXT ACADEMIC YEAR 1st Sept 2015. This is a very nicely presented 4 double bed 2nd floor flat. All Bedrooms are fully furnished with beds and units and 4 room have a desk and chairs. There is a Large lounge with 2 sofas with a free standing unit and Dining Ro,,Call: 0161 468 0796,723,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=100,t to rent,M14 5AP,Manchester
1 bedroom flat to rent,"Liverpool Road, Eccles, Manchester, M30",£350 pcm,"1 Bedroom Ground Floor Flat, Close to Trafford Centre and Eccles Town Centre with easy access to Local Motorway Network for easy commuting to Manchester City Centre. Available Unfurnished.",,Call: 0161 468 0413,728,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=100,t to rent,M30 7NA,Manchester
4 bedroom flat share to rent,"Upper Chorlton Road, Manchester, Chorlton, M16",£550 pcm,Large 2 en - suite double rooms available with ALL BILLS INCLUDED in 4 bedroom flat share situated close to Chortlton Village Fully furnished with sofa and TV in each roomLarge kitchen dining areaRecently refurbished Laminated floors Close to shops and transport,,Call: 07920 115075,731,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=100,e to rent,M16 0BH,Manchester
1 bedroom apartment to rent,"74 Meadow Court Hackness Road,Chorlton Cum Hardy,Manchester,M21 9HH",£575 pcm,"Immaculate ground floor apartment in excellent location, entrance hallway, lounge/dining room, modern fitted kitchen, one bedroom, modern shower room, warmed by low cost electric heating, UPVC double glazed windows, quiet location within beautiful communal gardens,",,Call: 0161 468 0509,735,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=120,t to rent,M16 7RQ,Manchester
1 bedroom flat to rent,"Central Road, Withington, Manchester, M20",£450 pcm,"One bedroom flat in converted property. Good location just off Palatine and Burton Road. The property includes lounge, fitted kitchen, bathroom with bath and shower and double bedroom. Also benefits from gas central heating, intercom and alarm. Furnished. Tax band A...",,Call: 0161 468 0354,740,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=120,t to rent,M20 4ZD,Manchester
3 bedroom terraced house to rent,"Cromwell Avenue, Whalley Range, Manchester",£900 pcm,"Newly refurbished, three double bedroomed period terrace situated in popular Whalley Range. Ideally located within a short distance of fashionable Chorlton, excellent local Schools and amenities this property is perfect for families and professionals. Inside comprises of; entrance hallway, dining...",,Call: 0161 468 1355,741,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=110,e to rent,M16 0BQ,Manchester
2 bedroom detached house to rent,"Cotefield Road, Wythenshawe, Manchester, Greater Manchester, M22",£700 pcm,"The Patrick is a THREE STOREY home with two well sized bedrooms and storage space that could be utilised as a third .The ground floor includes a large kitchen with MODERN CONTEMPORARY UNITS and worktops, downstairs WC and SPACIOUS LOUNGE.",,Call: 0161 468 1432,742,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=110,e to rent,M22 1UG,Manchester
Studio flat to rent,"Daisy Bank Road, Victoria Park, Manchester, M14",£440 pcm,"Good quality lower ground floor flat in converted Victorian building. Good location, short walk to university/Oxford Rd. and Manchester Royal Infirmary. Presented to a good standard the property includes lounge, small bedroom, shower room, fitted kitchen with cooker, fridge/freezer and washing...",,Call: 0161 468 0354,744,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=120,t to rent,M14 5QL,Manchester
2 bedroom flat to rent,"Clarendon Road, Manchester",£575 pcm,"CHECK THIS TWO BEDROOM FIRST FLOOR FLAT that benefits from NEW CARPETS AND REDECORATION THROUGHOUT! Available immediately this spacious property features two bedrooms, a large lounge/diner, fitted kitchen and bathroom. The property is gas central heated and part furnished. Externally the property...",,Call: 0161 747 9379,767,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=140,t to rent,M30 9ES,Manchester
3 bedroom terraced house to rent,"Norton Street, Old Trafford, Manchester",£795 pcm,"Well presented, mid terrace, period property. Great location for transport and amenities. Three bedrooms and two reception rooms. Large Breakfast kitchen. Available now. Unfurnished. No DSS. Energy Rating: D",,Call: 0161 468 0594,771,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=150,e to rent,M16 7QR,Manchester
3 bedroom semi-detached house to rent,"Avondale Crescent, Urmston, Manchester",£850 pcm,"**IMMACULATE PRESENTATION IN A SOUGHT AFTER LOCATION** VitalSpace Estate Agents are delighted to be able to offer to the rental market this attractively presented and well located THREE BEDROOM semi detached property available on an UNFURNISHED basis. Situated close to a range of local amenities,...",,Call: 0161 468 0787,772,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=150,e to rent,M32 0GB,Manchester
4 bedroom terraced house to rent,"Broadfield Road, Moss Side, Manchester",£850 pcm,"Large, well presented Mid terrace house. Convenient location for access to City and University. Four bedrooms. Two receptions. Breakfast kitchen. Shower room. Available now. Furnished. Energy Rating: D",,Call: 0161 468 0594,780,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=140,e to rent,M14 7JJ,Manchester
1 bedroom apartment to rent,"Bombay House, Whitworth Street, Manchester, Greater Manchester, M1",£800 pcm,"A 1 bedroom apartment in the much sought after Granby Village development. Residents have access to on site leisure facilities, swimming pool, sauna, gym and a games room plus on site concierge and resident's communal gardens. Water charges included, Council tax band C. Available from 5th FEB.",,Call: 0161 468 0806,792,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=160,t to rent,M1 6LT,Manchester
