provenance,postcode,price,street_name,bedroom_number,crimerank
rightmove_28,M20 2GN,995000,Bradford Road,4,9389
rightmove_29,M14 6UD,995000,"Clifton Avenue, Fallowfield, Manchester, M14 ",19,1798
rightmove_30,M13 0FN,575,Oldham Road,1,3973
rightmove_31,M25 9PE,999000,Louisa Street,5,
rightmove_33,M28 2RX,960000,Cheadle Street,6,
rightmove_34,M25 0DN,925000,Cheadle Street,4,
rightmove_37,M6 8QN,925000,Sandywell Street,5,
rightmove_38,M20 2NU,927000,Crabtree Lane,5,3347
rightmove_40,M13 0YL,950000,Wayne Street,nan,1470
rightmove_41,M21 9JF,900000,Old Lane,nan,14724
rightmove_42,M1 6DE,925000,Edge Lane,17,708
rightmove_43,M28 2TL,920000,Bransford Road,4,
rightmove_44,M28 2SQ,899950,Chariot Street,5,
rightmove_45,M1 5QA,nan,Salcombe Road,nan,209
rightmove_46,M18 7LP,675,Wheler Street,3,2497
rightmove_47,M50 2UD,700,Brock Close,1,
rightmove_48,M50 2UE,650,Burman Street,1,
