provenance,postcode,price,street_name,bedroom_number,crimerank
belvoir_176,M13 0RH,500,"Ivy Graham Close,						Newton Heath,",1,1470
belvoir_177,M13 0RH,170000,"Vie Building,
						Water Street ,",2,1470
belvoir_178,M13 0RH,239950,"Watson Street,",2,1470
belvoir_179,M13 0RH,POA,"Blossom Street,
						Ancoats,",2,1470
belvoir_180,M13 0RH,725,"Longfield Centre,						Prestwich,",2,1470
belvoir_181,M13 0RH,675,"Durnford Street,",3,1470
belvoir_182,M13 0RH,950,"Blossom Street,",1,1470
belvoir_183,M13 0RH,675,"Lymouth Court,",3,1470
belvoir_184,M13 0RH,belvoir_null_9,"Cleminson Street,",2,1470
belvoir_185,M13 0RH,belvoir_null_10,"Kings Close,						Prestwich,",4,1470
belvoir_186,M13 0RH,1695,"Beetham Tower,						Deansgate,",2,1470
belvoir_187,M13 0RH,belvoir_null_11,"Knowles Street,						Radcliffe,",2,1470
belvoir_188,M13 0RH,550,"Mayfair Avenue,",3,1470
belvoir_189,M13 0RH,1500,"Westpoint,						Duke Street ,",2,1470
belvoir_190,M13 0RH,1275,"The Edge,						Clowes Street,",2,1470
belvoir_191,M13 0RH,850,"Leftbank,						Spinningfields,",1,1470
belvoir_192,M13 0RH,750,"Tempus Tower,						Mirabel Street ,",1,1470
belvoir_193,M13 0RH,695,"Vie Building,						189 Water Street,",1,1470
belvoir_194,M13 0RH,795,"Vie Building,						185 Water Street,",2,1470
belvoir_195,M13 0RH,495,"Joshua Lane,						Middleton,",2,1470
belvoir_196,M13 0RH,1400,"Prestwich Park Road South,						Prestwich,",4,1470
belvoir_197,M13 0RH,belvoir_null_12,"Orange Hill Road,",4,1470
belvoir_198,M13 0RH,860,"Flint Glass Wharf,						Ancoats,",2,1470
belvoir_199,M13 0RH,500,"Oakhurst Gardens,						Prestwich,",2,1470
belvoir_200,M13 0RH,550,"Ruskin Road,",3,1470
belvoir_201,M13 0RH,895,"Sheepfoot Lane,						Prestwich,",3,1470
belvoir_202,M13 0RH,725,"George Street,						Prestwich,",3,1470
belvoir_203,M13 0RH,500,"Lowther Road,						Prestwich,",1,1470
belvoir_204,M13 0RH,belvoir_null_13,"103 Old Market Street,						Blackley,",1,1470
belvoir_205,M13 0RH,600,"Princess Road,						Prestwich,",2,1470
belvoir_206,M13 0RH,675,"Milton Road,						Prestwich,",3,1470
belvoir_207,M13 0RH,860,"Leftbank,						Spinningfields,",1,1470
belvoir_208,M13 0RH,1350,"Beetham Tower,						Deansgate,",1,1470
belvoir_209,M13 0RH,675,"Ranlesham Street,						Prestwich,",3,1470
agent_0,M5 4TD,"137,495
        PCM  
        
        
        
        
        
        
          
         Deposit: 824970 - admin fee is 360 (inc. VAT)  (Other Fees Apply)","Ordsall Lane, Salford, M5 4TD",2 bedroom(s),nan
agent_1,M3 5DW,"189,950
        PCM  
        
        
        
        
        
        
          
         Deposit: 1139700 - admin fee is 360 (inc. VAT)  (Other Fees Apply)","Chapel Street, Salford, M3 5DW",2 bedroom(s),nan
agent_2,SK12 2JN,"675,000
        PCM  
        
        
        
        
        
        
          
         Deposit: 4050000 - admin fee is 360 (inc. VAT)  (Other Fees Apply)","Homestead Road, Stockport, SK12 2JN",2 bedroom(s),nan
agent_3,M21 8DY,"549,950
        PCM  
        
        
        
        
        
        
          
         Deposit: 3299700 - admin fee is 360 (inc. VAT)  (Other Fees Apply)","South Drive, Manchester, M21 8DY",3 bedroom(s),4966
agent_4,M1 5BY,"950,000
        PCM  
        
        
        
        
        
        
          
         Deposit: 5700000 - admin fee is 360 (inc. VAT)  (Other Fees Apply)","B6, Manchester, M1 5BY",2 bedroom(s),2461
agent_5,L8 5RS,"109,950
        PCM  
        
        
        
        
        
        
          
         Deposit: 659700 - admin fee is 360 (inc. VAT)  (Other Fees Apply)","Sefton Street, Liverpool, L8 5RS",1 bedroom(s),nan
agent_6,M3 6EN,"174,995
        PCM  
        
        
        
        
        
        
          
         Deposit: 1049970 - admin fee is 360 (inc. VAT)  (Other Fees Apply)","Adelphi Street, Salford, M3 6EN",3 bedroom(s),nan
agent_7,M50 2BA,"178,500
        PCM  
        
        
        
        
        
        
          
         Deposit: 1071000 - admin fee is 360 (inc. VAT)  (Other Fees Apply)","Media City UK, Salford, M50 2BA",2 bedroom(s),nan
agent_8,M50 1AU,"695.00
        PCM  
        
        
        
        
        
        
          
         Deposit: 4170 - admin fee is 360 (inc. VAT)  (Other Fees Apply)","Pilgrims Way, Salford, M50 1AU",2 bedroom(s),nan
agent_9,M50 1AZ,"695.00
        PCM  
        
        
        
        
        
        
          
         Deposit: 4170 - admin fee is 360 (inc. VAT)  (Other Fees Apply)","Pilgrims Way, Salford, M50 1AZ",2 bedroom(s),nan
